project	acronym	BIOMAP
dataset	title	BIOMAP DNA methylation
dataset	types.0.value	DNA methylation
dataset	isAbout.0.name	blood	AnatomicalPart
dataset	isAbout.1.name	skin biopsy	AnatomicalPart
dataset	isAbout.2.name	psoriasis	Disease
dataset	isAbout.3.name	atopic dermatitis	Disease
dataset	isAbout.4.name	healthy controls	Disease
dataset	dimensions.0.name.value	sample size
dataset	dimensions.0.name.valueIRI	NCIT:C53190
dataset	dimensions.0.values.0.value	8789
