1016027182	Uncharacterized protein
1016027183	Uncharacterized protein
1016027184	Capsid protein C
1016027185	Uncharacterized protein
1016027186	Uncharacterized protein
1016027187	Uncharacterized protein
1016027188	Uncharacterized protein
1016027189	Uncharacterized protein
1016027190	Putative terminase large subunit
1016027191	Uncharacterized protein
1016027192	Uncharacterized protein
1016027193	Uncharacterized protein
1016027194	Putative tape measure protein
1016027195	Non-structural protein 1
1016027196	Protein PB1-F2
1016027197	Uncharacterized protein
1016027198	Uncharacterized protein
1016027199	Nuclear export protein
1016027200	Protein PB1-F2
1016027201	Neuraminidase
1016027202	Nucleoprotein
1016027203	Polymerase basic protein 2
1016027204	Neuraminidase
1016027205	Protein PA-X
1016027206	Uncharacterized protein
1016027207	Uncharacterized protein
1016027208	Uncharacterized protein
1016027209	Putative endolysin
1016027210	Uncharacterized protein
1016027211	Large envelope protein
1016027212	Uncharacterized protein
1016027213	Bac_DnaA_C domain-containing protein
1016027214	Uncharacterized protein
1016027215	Uncharacterized protein
1016027216	Polymerase
1016027217	Uncharacterized protein
1016027218	HTH cro/C1-type domain-containing protein
1016027219	Uncharacterized protein
1016027220	Uncharacterized protein
1016027221	Putative portal protein
1016027222	Uncharacterized protein
1016027223	Uncharacterized protein
1016027224	Major capsid protein
1016027225	Uncharacterized protein
1016027226	Capsid protein C
1016027227	Nonstructural protein
1016027228	Protein PA-X
1016027229	Hemagglutinin
1016027230	RNA-directed RNA polymerase catalytic subunit
1016027231	Major capsid protein
1016027232	Protein PA-X
1016027233	Replication initiation protein
1016027234	Neuraminidase
1016027235	Nuclear export protein
1016027236	Non-structural protein 1
1016027237	Matrix protein 1
1016027238	Uncharacterized protein
1016027239	Matrix protein 2
1016027240	Matrix protein 1
1016027241	DNA pilot protein
1016027242	Uncharacterized protein
1016027243	Capsid protein C
1016027244	Uncharacterized protein
1016027245	Capsid protein C
1016027246	Uncharacterized protein
1016027247	Polymerase
1016027248	Capsid protein C
1016027249	Putative tail fiber protein
1016027250	Uncharacterized protein
1016027251	Capsid protein C
1016027252	Capsid protein C
1016027253	Putative packaged DNA stabilization protein
1016027254	Uncharacterized protein
1016027255	Polymerase basic protein 2
1016027256	Nuclear export protein
1016027257	DNA pilot protein
1016027258	Major capsid protein
1016027259	Major capsid protein
1016027260	Replication initiation protein
1016027261	Major capsid protein
1016027262	DNA pilot protein
1016027263	DNA pilot protein
1016027264	Polymerase basic protein 2
1016027265	Capsid scaffolding protein
1016027266	Uncharacterized protein
1016027267	Matrix protein 1
1016027268	Nucleoprotein
1016027269	Nuclear export protein
1016027270	Polymerase basic protein 2
1016027271	Nuclear export protein
1016027272	Neuraminidase
1016027273	Uncharacterized protein
1016027274	Nuclear export protein
1016027275	Matrix protein 1
1016027276	Uncharacterized protein
1016027277	Protein PA-X
1016027278	Uncharacterized protein
1016027279	Polymerase
1016027280	DNA pilot protein
1016027281	Protein PB1-F2
1016027282	Polymerase acidic protein
1016027283	Replication initiation protein
1016027284	Capsid protein C
1016027285	Polymerase
1016027286	Matrix protein 1
1016027287	Uncharacterized protein
1016027288	Uncharacterized protein
1016027289	Matrix protein 2
1016027290	Protein PA-X
1016027291	Uncharacterized protein
1016027292	Neuraminidase
1016027293	Replication initiation protein
1016027294	Major capsid protein
1016027295	Uncharacterized protein
1016027296	Replication initiation protein
1016027297	Polymerase basic protein 2
1016027298	Uncharacterized protein
1016027299	Matrix protein 2
1016027300	Matrix protein 1
1016027301	Nucleoprotein
1016027302	Matrix protein 2
1016027303	RNA-directed RNA polymerase catalytic subunit
1016027304	Major capsid protein
1016027305	RNA-directed RNA polymerase catalytic subunit
1016027306	RNA-directed RNA polymerase catalytic subunit
1016027307	Nonstructural protein
1016027308	Polymerase basic protein 2
1016027309	Protein PA-X
1016027310	Nucleoprotein
1016027311	Uncharacterized protein
1016027312	Uncharacterized protein
1016027313	Protein PB1-F2
1016027314	Non-structural protein 1
1016027315	Hemagglutinin
1016027316	Polymerase basic protein 2
1016027317	Polymerase
1016027318	Large envelope protein
1016027319	Nuclear export protein
1016027320	Matrix protein 1
1016027321	Uncharacterized protein
1016027322	RNA-directed RNA polymerase catalytic subunit
1016027323	Uncharacterized protein
1016027324	DNA pilot protein
1016027325	DNA pilot protein
1016027326	Uncharacterized protein
1016027327	Uncharacterized protein
1016027328	DNA pilot protein
1016027329	DNA pilot protein
1016027330	Replication initiation protein
1016027331	Uncharacterized protein
1016027332	DNA pilot protein
1016027333	DNA pilot protein
1016027334	Uncharacterized protein
1016027335	Major capsid protein
1016027336	Nucleoprotein
1016027337	Protein PB1-F2
1016027338	Non-structural protein 1
1016027339	Hemagglutinin
1016027340	Polymerase acidic protein
1016027341	Matrix protein 2
1016027342	Protein PA-X
1016027343	Neuraminidase
