1016027000	1322430	R4PAQ3
1016027001	1322799	R4PB04
1016027002	1322652	R4PB05
1016027003	1322648	R4PAQ6
1016027004	1322565	R4PB07
1016027005	1323037	R4PB08
1016027006	1322430	R4PAQ8
1016027007	2583183	A0A4P8W6I8
1016027008	2585487	A0A4P8W6I7
1016027009	1322655	R4PB00
1016027010	1322794	R4PAQ4
1016027011	1323012	R4PAQ2
1016027012	1322794	R4PAQ9
1016027013	31647	A0A0P0KHB1
1016027014	1323068	R4PB03
1016027015	10407	A0A0P0KHB3
1016027016	1322798	R4PB09
1016027017	1322565	R4PB01
1016027018	2591644	A0A516L0T8
1016027019	2591644	A0A516L0T7
1016027020	2591644	A0A516L0U0
1016027021	2591644	A0A516L141
1016027022	2591644	A0A516L0U2
1016027023	2591644	A0A516L0U3
1016027024	2591644	A0A516L0U4
1016027025	2591644	A0A516L145
1016027026	2591644	A0A516L146
1016027027	2591644	A0A516L147
1016027028	2591644	A0A516L148
1016027029	2583110	A0A4P8W6J3
1016027030	1322649	R4PAR0
1016027031	1322799	R4PB11
1016027032	1322480	R4PB12
1016027033	1322431	R4PAR3
1016027034	2583170	A0A4P8W6J8
1016027035	1322799	R4PB15
1016027036	1322942	R4PAR6
1016027037	1322480	R4PB17
1016027038	1322796	R4PAR8
1016027039	1322797	R4PAR9
1016027040	1323025	R4PB18
1016027041	1322414	R4PAR7
1016027042	1322649	R4PAR5
1016027043	1323025	R4PB13
1016027044	2583183	A0A4P8W6J5
1016027045	10407	A0A0P0KHC0
1016027046	1323037	R4PB10
1016027047	2591644	A0A516L0U9
1016027048	2591644	A0A516L0U8
1016027049	2583169	A0A4P8W6J1
1016027050	2591644	A0A516L0U7
1016027051	2591644	A0A516L0U6
1016027052	2583159	A0A4P8W6J0
1016027053	10407	A0A0P0KHC8
1016027054	2591644	A0A516L151
1016027055	2591644	A0A516L0V2
1016027056	2591644	A0A516L0V3
1016027057	2591644	A0A516L154
1016027058	2591644	A0A516L155
1016027059	2591644	A0A516L0V6
1016027060	2591644	A0A516L0V7
1016027061	2591644	A0A516L158
1016027062	2591644	A0A516L0V9
1016027063	2591644	A0A516L159
1016027064	1322431	R4PAS1
1016027065	2583186	A0A4P8W6K6
1016027066	1322797	R4PAS3
1016027067	1322414	R4PAS4
1016027068	2583114	A0A4P8W6K9
1016027069	1323025	R4PB26
1016027070	1322553	R4PAS7
1016027071	1322797	R4PAS8
1016027072	1322414	R4PAS9
1016027073	1322653	R4PB29
1016027074	1322653	R4PB25
1016027075	2583149	A0A4P8W6K8
1016027076	2583188	A0A4P8W6K7
1016027077	1322796	R4PAS2
1016027078	31647	A0A0P0KHD0
1016027079	2583172	A0A4P8W6K3
1016027080	2591644	A0A516L0V8
1016027081	2583113	A0A4P8W6K0
1016027082	2591644	A0A516L0V5
1016027083	2591644	A0A516L0V4
1016027084	2591644	A0A516L0V1
1016027085	2591644	A0A516L0V0
1016027086	2591644	A0A516L0W0
